DayOfWeek, HourOfDay, Branch_,City_,Customer type_,Gender_,Product line_,Unit price,Quantity,Tax 5%,Total,Payment_,cogs,gross margin percentage,gross income,Rating
5, 12, B, Zurich, Normal, Male, Home and lifestyle, 33.2, 2, 3.32, 69.72, Credit card, 66.4, 4.761904762, 3.32, 4.4
7, 11, A, Bern, Normal, Male, Electronic accessories, 34.56, 5, 8.64, 181.44, Ewallet, 172.8, 4.761904762, 8.64, 9.9
6, 17, A, Bern, Member, Male, Sports and travel, 88.63, 3, 13.2945, 279.1845, Ewallet, 265.89, 4.761904762, 13.2945, 6
5, 19, A, Bern, Member, Female, Home and lifestyle, 52.59, 8, 21.036, 441.756, Credit card, 420.72, 4.761904762, 21.036, 8.5
5, 15, B, Zurich, Normal, Male, Fashion accessories, 33.52, 1, 1.676, 35.196, Cash, 33.52, 4.761904762, 1.676, 6.7
7, 12, A, Bern, Normal, Female, Fashion accessories, 87.67, 2, 8.767, 184.107, Credit card, 175.34, 4.761904762, 8.767, 7.7
5, 19, B, Zurich, Normal, Female, Food and beverages, 88.36, 5, 22.09, 463.89, Cash, 441.8, 4.761904762, 22.09, 9.6
5, 15, A, Bern, Normal, Male, Health and beauty, 24.89, 9, 11.2005, 235.2105, Cash, 224.01, 4.761904762, 11.2005, 7.4
1, 19, B, Zurich, Normal, Male, Fashion accessories, 94.13, 5, 23.5325, 494.1825, Credit card, 470.65, 4.761904762, 23.5325, 4.8
1, 12, B, Zurich, Member, Male, Sports and travel, 78.07, 9, 35.1315, 737.7615, Cash, 702.63, 4.761904762, 35.1315, 4.5
4, 14, B, Zurich, Normal, Male, Sports and travel, 83.78, 8, 33.512, 703.752, Cash, 670.24, 4.761904762, 33.512, 5.1
5, 10, A, Bern, Normal, Male, Health and beauty, 96.58, 2, 9.658, 202.818, Credit card, 193.16, 4.761904762, 9.658, 5.1
3, 10, C, Geneva, Member, Female, Food and beverages, 99.42, 4, 19.884, 417.564, Ewallet, 397.68, 4.761904762, 19.884, 7.5
1, 12, C, Geneva, Member, Female, Sports and travel, 68.12, 1, 3.406, 71.526, Ewallet, 68.12, 4.761904762, 3.406, 6.8
7, 19, A, Bern, Member, Male, Sports and travel, 62.62, 5, 15.655, 328.755, Ewallet, 313.1, 4.761904762, 15.655, 7
2, 17, A, Bern, Normal, Female, Electronic accessories, 60.88, 9, 27.396, 575.316, Ewallet, 547.92, 4.761904762, 27.396, 4.7
6, 13, C, Geneva, Normal, Female, Health and beauty, 54.92, 8, 21.968, 461.328, Ewallet, 439.36, 4.761904762, 21.968, 7.6
7, 13, B, Zurich, Member, Male, Home and lifestyle, 30.12, 8, 12.048, 253.008, Cash, 240.96, 4.761904762, 12.048, 7.7
4, 18, B, Zurich, Member, Female, Home and lifestyle, 86.72, 1, 4.336, 91.056, Ewallet, 86.72, 4.761904762, 4.336, 7.9
6, 10, C, Geneva, Member, Male, Home and lifestyle, 56.11, 2, 5.611, 117.831, Cash, 112.22, 4.761904762, 5.611, 6.3
5, 13, B, Zurich, Member, Female, Sports and travel, 69.12, 6, 20.736, 435.456, Cash, 414.72, 4.761904762, 20.736, 5.6
1, 20, C, Geneva, Member, Female, Food and beverages, 98.7, 8, 39.48, 829.08, Cash, 789.6, 4.761904762, 39.48, 7.6
6, 19, C, Geneva, Member, Male, Health and beauty, 15.37, 2, 1.537, 32.277, Cash, 30.74, 4.761904762, 1.537, 7.2
6, 18, B, Zurich, Member, Female, Electronic accessories, 93.96, 4, 18.792, 394.632, Cash, 375.84, 4.761904762, 18.792, 9.5
3, 17, B, Zurich, Member, Male, Health and beauty, 56.69, 9, 25.5105, 535.7205, Credit card, 510.21, 4.761904762, 25.5105, 8.4
3, 15, B, Zurich, Member, Female, Food and beverages, 20.01, 9, 9.0045, 189.0945, Ewallet, 180.09, 4.761904762, 9.0045, 4.1
7, 12, B, Zurich, Member, Male, Electronic accessories, 18.93, 6, 5.679, 119.259, Credit card, 113.58, 4.761904762, 5.679, 8.1
2, 17, C, Geneva, Member, Female, Fashion accessories, 82.63, 10, 41.315, 867.615, Ewallet, 826.3, 4.761904762, 41.315, 7.9
7, 10, C, Geneva, Member, Male, Food and beverages, 91.4, 7, 31.99, 671.79, Cash, 639.8, 4.761904762, 31.99, 9.5
7, 15, A, Bern, Member, Female, Food and beverages, 44.59, 5, 11.1475, 234.0975, Cash, 222.95, 4.761904762, 11.1475, 8.5
5, 14, B, Zurich, Member, Female, Fashion accessories, 17.87, 4, 3.574, 75.054, Ewallet, 71.48, 4.761904762, 3.574, 6.5
5, 15, C, Geneva, Member, Male, Fashion accessories, 15.43, 1, 0.7715, 16.2015, Credit card, 15.43, 4.761904762, 0.7715, 6.1
4, 11, B, Zurich, Normal, Male, Home and lifestyle, 16.16, 2, 1.616, 33.936, Ewallet, 32.32, 4.761904762, 1.616, 6.5
4, 19, C, Geneva, Normal, Female, Electronic accessories, 85.98, 8, 34.392, 722.232, Cash, 687.84, 4.761904762, 34.392, 8.2
3, 11, A, Bern, Member, Male, Home and lifestyle, 44.34, 2, 4.434, 93.114, Cash, 88.68, 4.761904762, 4.434, 5.8
4, 11, A, Bern, Normal, Male, Health and beauty, 89.6, 8, 35.84, 752.64, Ewallet, 716.8, 4.761904762, 35.84, 6.6
7, 15, A, Bern, Member, Female, Home and lifestyle, 72.35, 10, 36.175, 759.675, Cash, 723.5, 4.761904762, 36.175, 5.4
2, 20, C, Geneva, Normal, Male, Electronic accessories, 30.61, 6, 9.183, 192.843, Cash, 183.66, 4.761904762, 9.183, 9.3
5, 17, C, Geneva, Member, Female, Sports and travel, 24.74, 3, 3.711, 77.931, Credit card, 74.22, 4.761904762, 3.711, 10
7, 10, C, Geneva, Normal, Male, Home and lifestyle, 55.73, 6, 16.719, 351.099, Ewallet, 334.38, 4.761904762, 16.719, 7
7, 13, B, Zurich, Member, Female, Sports and travel, 55.07, 9, 24.7815, 520.4115, Ewallet, 495.63, 4.761904762, 24.7815, 10
3, 12, A, Bern, Member, Male, Sports and travel, 15.81, 10, 7.905, 166.005, Credit card, 158.1, 4.761904762, 7.905, 8.6
4, 14, B, Zurich, Member, Male, Health and beauty, 75.74, 4, 15.148, 318.108, Cash, 302.96, 4.761904762, 15.148, 7.6
3, 16, A, Bern, Member, Male, Health and beauty, 15.87, 10, 7.935, 166.635, Cash, 158.7, 4.761904762, 7.935, 5.8
7, 15, C, Geneva, Normal, Female, Health and beauty, 33.47, 2, 3.347, 70.287, Ewallet, 66.94, 4.761904762, 3.347, 6.7
1, 15, B, Zurich, Member, Female, Fashion accessories, 97.61, 6, 29.283, 614.943, Ewallet, 585.66, 4.761904762, 29.283, 9.9
4, 10, A, Bern, Normal, Male, Sports and travel, 78.77, 10, 39.385, 827.085, Cash, 787.7, 4.761904762, 39.385, 6.4
6, 18, A, Bern, Member, Female, Health and beauty, 18.33, 1, 0.9165, 19.2465, Cash, 18.33, 4.761904762, 0.9165, 4.3
7, 12, C, Geneva, Normal, Male, Food and beverages, 89.48, 10, 44.74, 939.54, Credit card, 894.8, 4.761904762, 44.74, 9.6
1, 16, C, Geneva, Normal, Male, Fashion accessories, 62.12, 10, 31.06, 652.26, Cash, 621.2, 4.761904762, 31.06, 5.9
2, 18, B, Zurich, Member, Female, Food and beverages, 48.52, 3, 7.278, 152.838, Ewallet, 145.56, 4.761904762, 7.278, 4
6, 18, C, Geneva, Normal, Female, Electronic accessories, 75.91, 6, 22.773, 478.233, Cash, 455.46, 4.761904762, 22.773, 8.7
2, 10, A, Bern, Normal, Male, Home and lifestyle, 74.67, 9, 33.6015, 705.6315, Ewallet, 672.03, 4.761904762, 33.6015, 9.4
7, 17, C, Geneva, Normal, Female, Electronic accessories, 41.65, 10, 20.825, 437.325, Credit card, 416.5, 4.761904762, 20.825, 5.4
3, 14, C, Geneva, Member, Male, Fashion accessories, 49.04, 9, 22.068, 463.428, Credit card, 441.36, 4.761904762, 22.068, 8.6
6, 15, A, Bern, Member, Female, Fashion accessories, 20.01, 9, 9.0045, 189.0945, Credit card, 180.09, 4.761904762, 9.0045, 5.7
2, 16, C, Geneva, Member, Female, Food and beverages, 78.31, 10, 39.155, 822.255, Ewallet, 783.1, 4.761904762, 39.155, 6.6
2, 18, C, Geneva, Normal, Female, Health and beauty, 20.38, 5, 5.095, 106.995, Cash, 101.9, 4.761904762, 5.095, 6
1, 14, C, Geneva, Normal, Female, Health and beauty, 99.19, 6, 29.757, 624.897, Credit card, 595.14, 4.761904762, 29.757, 5.5
6, 19, B, Zurich, Normal, Female, Food and beverages, 96.68, 3, 14.502, 304.542, Ewallet, 290.04, 4.761904762, 14.502, 6.4
3, 18, C, Geneva, Normal, Male, Food and beverages, 19.25, 8, 7.7, 161.7, Ewallet, 154, 4.761904762, 7.7, 6.6
6, 18, C, Geneva, Member, Female, Food and beverages, 80.36, 4, 16.072, 337.512, Credit card, 321.44, 4.761904762, 16.072, 8.3
6, 10, C, Geneva, Member, Male, Sports and travel, 48.91, 5, 12.2275, 256.7775, Cash, 244.55, 4.761904762, 12.2275, 6.6
2, 14, C, Geneva, Normal, Female, Sports and travel, 83.06, 7, 29.071, 610.491, Ewallet, 581.42, 4.761904762, 29.071, 4
1, 10, C, Geneva, Normal, Male, Fashion accessories, 76.52, 5, 19.13, 401.73, Cash, 382.6, 4.761904762, 19.13, 9.9
3, 20, A, Bern, Member, Male, Food and beverages, 49.38, 7, 17.283, 362.943, Credit card, 345.66, 4.761904762, 17.283, 7.3
3, 16, A, Bern, Normal, Male, Sports and travel, 42.47, 1, 2.1235, 44.5935, Cash, 42.47, 4.761904762, 2.1235, 5.7
3, 17, B, Zurich, Normal, Female, Health and beauty, 76.99, 6, 23.097, 485.037, Cash, 461.94, 4.761904762, 23.097, 6.1
3, 10, C, Geneva, Member, Female, Home and lifestyle, 47.38, 4, 9.476, 198.996, Cash, 189.52, 4.761904762, 9.476, 7.1
6, 19, C, Geneva, Normal, Female, Sports and travel, 44.86, 10, 22.43, 471.03, Ewallet, 448.6, 4.761904762, 22.43, 8.2
4, 16, A, Bern, Member, Female, Sports and travel, 21.98, 7, 7.693, 161.553, Ewallet, 153.86, 4.761904762, 7.693, 5.1
2, 12, B, Zurich, Member, Male, Health and beauty, 64.36, 9, 28.962, 608.202, Credit card, 579.24, 4.761904762, 28.962, 8.6
3, 20, C, Geneva, Normal, Male, Health and beauty, 89.75, 1, 4.4875, 94.2375, Credit card, 89.75, 4.761904762, 4.4875, 6.6
5, 20, A, Bern, Normal, Male, Electronic accessories, 97.16, 1, 4.858, 102.018, Ewallet, 97.16, 4.761904762, 4.858, 7.2
5, 10, B, Zurich, Normal, Male, Health and beauty, 87.87, 10, 43.935, 922.635, Ewallet, 878.7, 4.761904762, 43.935, 5.1
6, 13, C, Geneva, Normal, Female, Electronic accessories, 12.45, 6, 3.735, 78.435, Cash, 74.7, 4.761904762, 3.735, 4.1
6, 10, A, Bern, Normal, Male, Food and beverages, 52.75, 3, 7.9125, 166.1625, Ewallet, 158.25, 4.761904762, 7.9125, 9.3
2, 18, B, Zurich, Normal, Male, Home and lifestyle, 82.7, 6, 24.81, 521.01, Cash, 496.2, 4.761904762, 24.81, 7.4
2, 19, C, Geneva, Member, Male, Fashion accessories, 48.71, 1, 2.4355, 51.1455, Cash, 48.71, 4.761904762, 2.4355, 4.1
5, 13, C, Geneva, Normal, Male, Fashion accessories, 78.55, 9, 35.3475, 742.2975, Cash, 706.95, 4.761904762, 35.3475, 7.2
5, 11, C, Geneva, Normal, Female, Electronic accessories, 23.07, 9, 10.3815, 218.0115, Cash, 207.63, 4.761904762, 10.3815, 4.9
4, 16, A, Bern, Normal, Male, Food and beverages, 58.26, 6, 17.478, 367.038, Cash, 349.56, 4.761904762, 17.478, 9.9
2, 18, B, Zurich, Normal, Male, Health and beauty, 30.35, 7, 10.6225, 223.0725, Cash, 212.45, 4.761904762, 10.6225, 8
6, 14, A, Bern, Member, Male, Electronic accessories, 88.67, 10, 44.335, 931.035, Ewallet, 886.7, 4.761904762, 44.335, 7.3
6, 20, C, Geneva, Normal, Male, Fashion accessories, 27.38, 6, 8.214, 172.494, Credit card, 164.28, 4.761904762, 8.214, 7.9
5, 20, A, Bern, Normal, Male, Sports and travel, 62.13, 6, 18.639, 391.419, Cash, 372.78, 4.761904762, 18.639, 7.4
7, 10, C, Geneva, Normal, Female, Food and beverages, 33.98, 9, 15.291, 321.111, Cash, 305.82, 4.761904762, 15.291, 4.2
7, 14, C, Geneva, Member, Male, Electronic accessories, 81.97, 10, 40.985, 860.685, Cash, 819.7, 4.761904762, 40.985, 9.2
2, 11, B, Zurich, Member, Female, Sports and travel, 16.49, 2, 1.649, 34.629, Ewallet, 32.98, 4.761904762, 1.649, 4.6
2, 10, C, Geneva, Member, Female, Health and beauty, 98.21, 3, 14.7315, 309.3615, Credit card, 294.63, 4.761904762, 14.7315, 7.8
5, 12, B, Zurich, Normal, Female, Fashion accessories, 72.84, 7, 25.494, 535.374, Cash, 509.88, 4.761904762, 25.494, 8.4
6, 20, A, Bern, Member, Male, Home and lifestyle, 58.07, 9, 26.1315, 548.7615, Ewallet, 522.63, 4.761904762, 26.1315, 4.3
5, 20, C, Geneva, Member, Female, Home and lifestyle, 80.79, 9, 36.3555, 763.4655, Credit card, 727.11, 4.761904762, 36.3555, 9.5
6, 13, C, Geneva, Normal, Female, Fashion accessories, 27.02, 3, 4.053, 85.113, Credit card, 81.06, 4.761904762, 4.053, 7.1
2, 12, B, Zurich, Member, Male, Fashion accessories, 21.94, 5, 5.485, 115.185, Ewallet, 109.7, 4.761904762, 5.485, 5.3
3, 15, B, Zurich, Member, Male, Fashion accessories, 51.36, 1, 2.568, 53.928, Ewallet, 51.36, 4.761904762, 2.568, 5.2
6, 20, A, Bern, Normal, Female, Food and beverages, 10.96, 10, 5.48, 115.08, Ewallet, 109.6, 4.761904762, 5.48, 6
7, 20, B, Zurich, Normal, Male, Home and lifestyle, 53.44, 2, 5.344, 112.224, Ewallet, 106.88, 4.761904762, 5.344, 4.1
4, 17, A, Bern, Normal, Female, Electronic accessories, 99.56, 8, 39.824, 836.304, Credit card, 796.48, 4.761904762, 39.824, 5.2
6, 12, C, Geneva, Member, Male, Sports and travel, 57.12, 7, 19.992, 419.832, Credit card, 399.84, 4.761904762, 19.992, 6.5
6, 17, B, Zurich, Member, Male, Sports and travel, 99.96, 9, 44.982, 944.622, Credit card, 899.64, 4.761904762, 44.982, 4.2
3, 19, C, Geneva, Member, Male, Home and lifestyle, 63.91, 8, 25.564, 536.844, Credit card, 511.28, 4.761904762, 25.564, 4.6
6, 14, B, Zurich, Member, Female, Fashion accessories, 56.47, 8, 22.588, 474.348, Ewallet, 451.76, 4.761904762, 22.588, 7.3
7, 18, A, Bern, Normal, Female, Home and lifestyle, 93.69, 7, 32.7915, 688.6215, Credit card, 655.83, 4.761904762, 32.7915, 4.5
7, 13, A, Bern, Normal, Female, Sports and travel, 32.25, 5, 8.0625, 169.3125, Cash, 161.25, 4.761904762, 8.0625, 9
2, 16, C, Geneva, Normal, Female, Fashion accessories, 31.73, 9, 14.2785, 299.8485, Credit card, 285.57, 4.761904762, 14.2785, 5.9
2, 15, C, Geneva, Member, Female, Food and beverages, 68.54, 8, 27.416, 575.736, Ewallet, 548.32, 4.761904762, 27.416, 8.5
5, 11, B, Zurich, Normal, Female, Sports and travel, 90.28, 9, 40.626, 853.146, Ewallet, 812.52, 4.761904762, 40.626, 7.2
5, 13, B, Zurich, Normal, Female, Fashion accessories, 39.62, 7, 13.867, 291.207, Cash, 277.34, 4.761904762, 13.867, 7.5
3, 20, A, Bern, Member, Female, Sports and travel, 92.13, 6, 27.639, 580.419, Cash, 552.78, 4.761904762, 27.639, 8.3
7, 18, B, Zurich, Normal, Female, Sports and travel, 34.84, 4, 6.968, 146.328, Cash, 139.36, 4.761904762, 6.968, 7.4
7, 14, B, Zurich, Member, Male, Electronic accessories, 87.45, 6, 26.235, 550.935, Credit card, 524.7, 4.761904762, 26.235, 8.8
5, 16, C, Geneva, Normal, Female, Health and beauty, 81.3, 6, 24.39, 512.19, Ewallet, 487.8, 4.761904762, 24.39, 5.3
1, 19, C, Geneva, Normal, Male, Fashion accessories, 90.22, 3, 13.533, 284.193, Cash, 270.66, 4.761904762, 13.533, 6.2
5, 20, A, Bern, Normal, Female, Electronic accessories, 26.31, 5, 6.5775, 138.1275, Credit card, 131.55, 4.761904762, 6.5775, 8.8
1, 15, A, Bern, Member, Female, Home and lifestyle, 34.42, 6, 10.326, 216.846, Cash, 206.52, 4.761904762, 10.326, 9.8
6, 12, B, Zurich, Normal, Male, Sports and travel, 51.91, 10, 25.955, 545.055, Cash, 519.1, 4.761904762, 25.955, 8.2
6, 19, A, Bern, Normal, Male, Sports and travel, 72.5, 8, 29, 609, Ewallet, 580, 4.761904762, 29, 9.2
3, 13, C, Geneva, Member, Female, Sports and travel, 89.8, 10, 44.9, 942.9, Credit card, 898, 4.761904762, 44.9, 5.4
5, 13, C, Geneva, Member, Male, Health and beauty, 90.5, 10, 45.25, 950.25, Cash, 905, 4.761904762, 45.25, 8.1
2, 19, C, Geneva, Member, Female, Health and beauty, 68.6, 10, 34.3, 720.3, Cash, 686, 4.761904762, 34.3, 9.1
5, 10, C, Geneva, Member, Female, Food and beverages, 30.41, 1, 1.5205, 31.9305, Credit card, 30.41, 4.761904762, 1.5205, 8.4
1, 16, A, Bern, Normal, Female, Home and lifestyle, 77.95, 6, 23.385, 491.085, Ewallet, 467.7, 4.761904762, 23.385, 8
5, 17, C, Geneva, Normal, Female, Health and beauty, 46.26, 6, 13.878, 291.438, Credit card, 277.56, 4.761904762, 13.878, 9.5
7, 12, A, Bern, Member, Female, Fashion accessories, 30.14, 10, 15.07, 316.47, Ewallet, 301.4, 4.761904762, 15.07, 9.2
2, 12, C, Geneva, Normal, Male, Health and beauty, 66.14, 4, 13.228, 277.788, Credit card, 264.56, 4.761904762, 13.228, 5.6
3, 15, B, Zurich, Member, Male, Home and lifestyle, 71.86, 8, 28.744, 603.624, Credit card, 574.88, 4.761904762, 28.744, 6.2
3, 13, A, Bern, Normal, Male, Health and beauty, 32.46, 8, 12.984, 272.664, Credit card, 259.68, 4.761904762, 12.984, 4.9
6, 19, B, Zurich, Member, Female, Fashion accessories, 91.54, 4, 18.308, 384.468, Credit card, 366.16, 4.761904762, 18.308, 4.8
1, 16, C, Geneva, Member, Male, Sports and travel, 34.56, 7, 12.096, 254.016, Credit card, 241.92, 4.761904762, 12.096, 7.3
2, 11, A, Bern, Normal, Male, Fashion accessories, 83.24, 9, 37.458, 786.618, Credit card, 749.16, 4.761904762, 37.458, 7.4
4, 18, C, Geneva, Normal, Female, Food and beverages, 16.48, 6, 4.944, 103.824, Ewallet, 98.88, 4.761904762, 4.944, 9.9
1, 13, C, Geneva, Normal, Female, Sports and travel, 80.97, 8, 32.388, 680.148, Cash, 647.76, 4.761904762, 32.388, 9.3
3, 15, A, Bern, Member, Male, Food and beverages, 92.29, 5, 23.0725, 484.5225, Credit card, 461.45, 4.761904762, 23.0725, 9
5, 19, B, Zurich, Member, Male, Electronic accessories, 72.17, 1, 3.6085, 75.7785, Cash, 72.17, 4.761904762, 3.6085, 6.1
4, 13, B, Zurich, Normal, Male, Home and lifestyle, 50.28, 5, 12.57, 263.97, Ewallet, 251.4, 4.761904762, 12.57, 9.7
6, 14, B, Zurich, Member, Male, Health and beauty, 97.22, 9, 43.749, 918.729, Ewallet, 874.98, 4.761904762, 43.749, 6
3, 19, B, Zurich, Normal, Male, Sports and travel, 93.39, 6, 28.017, 588.357, Ewallet, 560.34, 4.761904762, 28.017, 10
6, 19, C, Geneva, Normal, Female, Food and beverages, 43.18, 8, 17.272, 362.712, Credit card, 345.44, 4.761904762, 17.272, 8.3
1, 16, A, Bern, Normal, Male, Sports and travel, 63.69, 1, 3.1845, 66.8745, Cash, 63.69, 4.761904762, 3.1845, 6
3, 19, A, Bern, Normal, Male, Food and beverages, 45.79, 7, 16.0265, 336.5565, Credit card, 320.53, 4.761904762, 16.0265, 7
3, 19, C, Geneva, Normal, Male, Sports and travel, 76.4, 2, 7.64, 160.44, Ewallet, 152.8, 4.761904762, 7.64, 6.5
3, 15, B, Zurich, Normal, Male, Food and beverages, 39.9, 10, 19.95, 418.95, Credit card, 399, 4.761904762, 19.95, 5.9
1, 14, B, Zurich, Member, Male, Health and beauty, 42.57, 8, 17.028, 357.588, Ewallet, 340.56, 4.761904762, 17.028, 5.6
3, 13, C, Geneva, Normal, Male, Home and lifestyle, 95.58, 10, 47.79, 1003.59, Cash, 955.8, 4.761904762, 47.79, 4.8
5, 16, A, Bern, Normal, Male, Fashion accessories, 98.98, 10, 49.49, 1039.29, Credit card, 989.8, 4.761904762, 49.49, 8.7
6, 16, A, Bern, Normal, Male, Food and beverages, 51.28, 6, 15.384, 323.064, Cash, 307.68, 4.761904762, 15.384, 6.5
5, 15, A, Bern, Member, Male, Sports and travel, 69.52, 7, 24.332, 510.972, Credit card, 486.64, 4.761904762, 24.332, 8.5
4, 11, A, Bern, Normal, Male, Health and beauty, 70.01, 5, 17.5025, 367.5525, Ewallet, 350.05, 4.761904762, 17.5025, 5.5
6, 12, B, Zurich, Member, Male, Food and beverages, 80.05, 5, 20.0125, 420.2625, Credit card, 400.25, 4.761904762, 20.0125, 9.4
7, 19, C, Geneva, Normal, Male, Electronic accessories, 20.85, 8, 8.34, 175.14, Cash, 166.8, 4.761904762, 8.34, 6.3
6, 17, B, Zurich, Member, Male, Electronic accessories, 52.89, 6, 15.867, 333.207, Credit card, 317.34, 4.761904762, 15.867, 9.8
5, 12, B, Zurich, Normal, Male, Food and beverages, 19.79, 8, 7.916, 166.236, Ewallet, 158.32, 4.761904762, 7.916, 8.7
4, 16, A, Bern, Member, Male, Home and lifestyle, 33.84, 9, 15.228, 319.788, Ewallet, 304.56, 4.761904762, 15.228, 8.8
7, 17, A, Bern, Member, Male, Food and beverages, 22.17, 8, 8.868, 186.228, Credit card, 177.36, 4.761904762, 8.868, 9.6
3, 10, C, Geneva, Normal, Female, Fashion accessories, 22.51, 7, 7.8785, 165.4485, Credit card, 157.57, 4.761904762, 7.8785, 4.8
6, 19, A, Bern, Normal, Male, Food and beverages, 73.88, 6, 22.164, 465.444, Ewallet, 443.28, 4.761904762, 22.164, 4.4
1, 16, C, Geneva, Member, Male, Health and beauty, 86.8, 3, 13.02, 273.42, Ewallet, 260.4, 4.761904762, 13.02, 9.9
6, 10, C, Geneva, Normal, Male, Fashion accessories, 64.26, 7, 22.491, 472.311, Cash, 449.82, 4.761904762, 22.491, 5.7
3, 11, C, Geneva, Member, Male, Food and beverages, 38.47, 8, 15.388, 323.148, Cash, 307.76, 4.761904762, 15.388, 7.7
6, 10, A, Bern, Member, Male, Sports and travel, 15.5, 10, 7.75, 162.75, Ewallet, 155, 4.761904762, 7.75, 8
5, 15, C, Geneva, Normal, Male, Health and beauty, 34.31, 8, 13.724, 288.204, Ewallet, 274.48, 4.761904762, 13.724, 5.7
1, 11, A, Bern, Normal, Female, Sports and travel, 12.34, 7, 4.319, 90.699, Credit card, 86.38, 4.761904762, 4.319, 6.7
2, 19, B, Zurich, Member, Male, Food and beverages, 18.08, 3, 2.712, 56.952, Ewallet, 54.24, 4.761904762, 2.712, 8
7, 19, B, Zurich, Member, Female, Home and lifestyle, 94.49, 8, 37.796, 793.716, Ewallet, 755.92, 4.761904762, 37.796, 7.5
5, 10, B, Zurich, Member, Male, Home and lifestyle, 46.47, 4, 9.294, 195.174, Cash, 185.88, 4.761904762, 9.294, 7
7, 12, A, Bern, Normal, Male, Home and lifestyle, 74.07, 1, 3.7035, 77.7735, Ewallet, 74.07, 4.761904762, 3.7035, 9.9
1, 20, C, Geneva, Normal, Female, Home and lifestyle, 69.81, 4, 13.962, 293.202, Credit card, 279.24, 4.761904762, 13.962, 5.9
1, 10, B, Zurich, Normal, Female, Home and lifestyle, 77.04, 3, 11.556, 242.676, Credit card, 231.12, 4.761904762, 11.556, 7.2
2, 13, B, Zurich, Normal, Female, Fashion accessories, 73.52, 2, 7.352, 154.392, Ewallet, 147.04, 4.761904762, 7.352, 4.6
6, 19, C, Geneva, Normal, Female, Food and beverages, 87.8, 9, 39.51, 829.71, Cash, 790.2, 4.761904762, 39.51, 9.2
6, 20, B, Zurich, Normal, Male, Home and lifestyle, 25.55, 4, 5.11, 107.31, Ewallet, 102.2, 4.761904762, 5.11, 5.7
